student_id,name,subject,marks,result
1,Student_1,Maths,43,Pass
2,Student_1,Physics,24,Fail
3,Student_1,Chemistry,74,Pass
4,Student_1,English,86,Pass
5,Student_2,Maths,41,Pass
6,Student_2,Physics,53,Pass
7,Student_2,Chemistry,38,Pass
8,Student_2,English,81,Pass
9,Student_3,Maths,88,Pass
10,Student_3,Physics,49,Pass
11,Student_3,Chemistry,92,Pass
12,Student_3,English,100,Pass
13,Student_4,Maths,48,Pass
14,Student_4,Physics,42,Pass
15,Student_4,Chemistry,48,Pass
16,Student_4,English,34,Fail
17,Student_5,Maths,46,Pass
18,Student_5,Physics,93,Pass
19,Student_5,Chemistry,69,Pass
20,Student_5,English,20,Fail
21,Student_6,Maths,84,Pass
22,Student_6,Physics,88,Pass
23,Student_6,Chemistry,53,Pass
24,Student_6,English,36,Pass
25,Student_7,Maths,58,Pass
26,Student_7,Physics,37,Pass
27,Student_7,Chemistry,61,Pass
28,Student_7,English,38,Pass
29,Student_8,Maths,20,Fail
30,Student_8,Physics,83,Pass
31,Student_8,Chemistry,74,Pass
32,Student_8,English,27,Fail
33,Student_9,Maths,48,Pass
34,Student_9,Physics,51,Pass
35,Student_9,Chemistry,96,Pass
36,Student_9,English,49,Pass
37,Student_10,Maths,92,Pass
38,Student_10,Physics,59,Pass
39,Student_10,Chemistry,22,Fail
40,Student_10,English,82,Pass
41,Student_11,Maths,72,Pass
42,Student_11,Physics,99,Pass
43,Student_11,Chemistry,33,Fail
44,Student_11,English,57,Pass
45,Student_12,Maths,88,Pass
46,Student_12,Physics,36,Pass
47,Student_12,Chemistry,46,Pass
48,Student_12,English,70,Pass
49,Student_13,Maths,82,Pass
50,Student_13,Physics,66,Pass
51,Student_13,Chemistry,60,Pass
52,Student_13,English,22,Fail
53,Student_14,Maths,30,Fail
54,Student_14,Physics,31,Fail
55,Student_14,Chemistry,27,Fail
56,Student_14,English,42,Pass
57,Student_15,Maths,48,Pass
58,Student_15,Physics,98,Pass
59,Student_15,Chemistry,90,Pass
60,Student_15,English,50,Pass
61,Student_16,Maths,78,Pass
62,Student_16,Physics,38,Pass
63,Student_16,Chemistry,45,Pass
64,Student_16,English,67,Pass
65,Student_17,Maths,31,Fail
66,Student_17,Physics,80,Pass
67,Student_17,Chemistry,50,Pass
68,Student_17,English,27,Fail
69,Student_18,Maths,21,Fail
70,Student_18,Physics,86,Pass
71,Student_18,Chemistry,99,Pass
72,Student_18,English,67,Pass
73,Student_19,Maths,37,Pass
74,Student_19,Physics,24,Fail
75,Student_19,Chemistry,63,Pass
76,Student_19,English,41,Pass
77,Student_20,Maths,43,Pass
78,Student_20,Physics,21,Fail
79,Student_20,Chemistry,68,Pass
80,Student_20,English,52,Pass
81,Student_21,Maths,29,Fail
82,Student_21,Physics,64,Pass
83,Student_21,Chemistry,91,Pass
84,Student_21,English,94,Pass
85,Student_22,Maths,51,Pass
86,Student_22,Physics,62,Pass
87,Student_22,Chemistry,35,Pass
88,Student_22,English,77,Pass
89,Student_23,Maths,70,Pass
90,Student_23,Physics,76,Pass
91,Student_23,Chemistry,64,Pass
92,Student_23,English,38,Pass
93,Student_24,Maths,27,Fail
94,Student_24,Physics,53,Pass
95,Student_24,Chemistry,81,Pass
96,Student_24,English,37,Pass
97,Student_25,Maths,100,Pass
98,Student_25,Physics,47,Pass
99,Student_25,Chemistry,64,Pass
100,Student_25,English,58,Pass
101,Student_26,Maths,27,Fail
102,Student_26,Physics,97,Pass
103,Student_26,Chemistry,80,Pass
104,Student_26,English,51,Pass
105,Student_27,Maths,27,Fail
106,Student_27,Physics,98,Pass
107,Student_27,Chemistry,39,Pass
108,Student_27,English,21,Fail
109,Student_28,Maths,56,Pass
110,Student_28,Physics,81,Pass
111,Student_28,Chemistry,43,Pass
112,Student_28,English,91,Pass
113,Student_29,Maths,61,Pass
114,Student_29,Physics,38,Pass
115,Student_29,Chemistry,64,Pass
116,Student_29,English,94,Pass
117,Student_30,Maths,60,Pass
118,Student_30,Physics,36,Pass
119,Student_30,Chemistry,59,Pass
120,Student_30,English,42,Pass
121,Student_31,Maths,89,Pass
122,Student_31,Physics,34,Fail
123,Student_31,Chemistry,73,Pass
124,Student_31,English,96,Pass
125,Student_32,Maths,85,Pass
126,Student_32,Physics,59,Pass
127,Student_32,Chemistry,81,Pass
128,Student_32,English,97,Pass
129,Student_33,Maths,40,Pass
130,Student_33,Physics,93,Pass
131,Student_33,Chemistry,56,Pass
132,Student_33,English,93,Pass
133,Student_34,Maths,40,Pass
134,Student_34,Physics,96,Pass
135,Student_34,Chemistry,61,Pass
136,Student_34,English,76,Pass
137,Student_35,Maths,60,Pass
138,Student_35,Physics,35,Pass
139,Student_35,Chemistry,73,Pass
140,Student_35,English,20,Fail
141,Student_36,Maths,83,Pass
142,Student_36,Physics,50,Pass
143,Student_36,Chemistry,57,Pass
144,Student_36,English,36,Pass
145,Student_37,Maths,98,Pass
146,Student_37,Physics,52,Pass
147,Student_37,Chemistry,45,Pass
148,Student_37,English,93,Pass
149,Student_38,Maths,94,Pass
150,Student_38,Physics,97,Pass
151,Student_38,Chemistry,72,Pass
152,Student_38,English,53,Pass
153,Student_39,Maths,64,Pass
154,Student_39,Physics,78,Pass
155,Student_39,Chemistry,56,Pass
156,Student_39,English,46,Pass
157,Student_40,Maths,48,Pass
158,Student_40,Physics,33,Fail
159,Student_40,Chemistry,63,Pass
160,Student_40,English,55,Pass
161,Student_41,Maths,72,Pass
162,Student_41,Physics,53,Pass
163,Student_41,Chemistry,54,Pass
164,Student_41,English,81,Pass
165,Student_42,Maths,88,Pass
166,Student_42,Physics,42,Pass
167,Student_42,Chemistry,58,Pass
168,Student_42,English,79,Pass
169,Student_43,Maths,70,Pass
170,Student_43,Physics,50,Pass
171,Student_43,Chemistry,26,Fail
172,Student_43,English,39,Pass
173,Student_44,Maths,44,Pass
174,Student_44,Physics,61,Pass
175,Student_44,Chemistry,100,Pass
176,Student_44,English,98,Pass
177,Student_45,Maths,70,Pass
178,Student_45,Physics,48,Pass
179,Student_45,Chemistry,76,Pass
180,Student_45,English,33,Fail
181,Student_46,Maths,96,Pass
182,Student_46,Physics,60,Pass
183,Student_46,Chemistry,99,Pass
184,Student_46,English,97,Pass
185,Student_47,Maths,91,Pass
186,Student_47,Physics,48,Pass
187,Student_47,Chemistry,71,Pass
188,Student_47,English,90,Pass
189,Student_48,Maths,22,Fail
190,Student_48,Physics,44,Pass
191,Student_48,Chemistry,36,Pass
192,Student_48,English,95,Pass
193,Student_49,Maths,93,Pass
194,Student_49,Physics,31,Fail
195,Student_49,Chemistry,72,Pass
196,Student_49,English,24,Fail
197,Student_50,Maths,56,Pass
198,Student_50,Physics,40,Pass
199,Student_50,Chemistry,27,Fail
200,Student_50,English,79,Pass
201,Student_51,Maths,58,Pass
202,Student_51,Physics,33,Fail
203,Student_51,Chemistry,20,Fail
204,Student_51,English,39,Pass
205,Student_52,Maths,100,Pass
206,Student_52,Physics,83,Pass
207,Student_52,Chemistry,44,Pass
208,Student_52,English,33,Fail
209,Student_53,Maths,35,Pass
210,Student_53,Physics,64,Pass
211,Student_53,Chemistry,29,Fail
212,Student_53,English,34,Fail
213,Student_54,Maths,70,Pass
214,Student_54,Physics,57,Pass
215,Student_54,Chemistry,22,Fail
216,Student_54,English,63,Pass
217,Student_55,Maths,96,Pass
218,Student_55,Physics,47,Pass
219,Student_55,Chemistry,66,Pass
220,Student_55,English,42,Pass
221,Student_56,Maths,99,Pass
222,Student_56,Physics,53,Pass
223,Student_56,Chemistry,23,Fail
224,Student_56,English,77,Pass
225,Student_57,Maths,27,Fail
226,Student_57,Physics,54,Pass
227,Student_57,Chemistry,98,Pass
228,Student_57,English,77,Pass
229,Student_58,Maths,89,Pass
230,Student_58,Physics,90,Pass
231,Student_58,Chemistry,53,Pass
232,Student_58,English,22,Fail
233,Student_59,Maths,25,Fail
234,Student_59,Physics,36,Pass
235,Student_59,Chemistry,20,Fail
236,Student_59,English,66,Pass
237,Student_60,Maths,50,Pass
238,Student_60,Physics,76,Pass
239,Student_60,Chemistry,69,Pass
240,Student_60,English,83,Pass
241,Student_61,Maths,69,Pass
242,Student_61,Physics,28,Fail
243,Student_61,Chemistry,40,Pass
244,Student_61,English,73,Pass
245,Student_62,Maths,87,Pass
246,Student_62,Physics,63,Pass
247,Student_62,Chemistry,38,Pass
248,Student_62,English,54,Pass
249,Student_63,Maths,38,Pass
250,Student_63,Physics,28,Fail
251,Student_63,Chemistry,27,Fail
252,Student_63,English,34,Fail
253,Student_64,Maths,30,Fail
254,Student_64,Physics,27,Fail
255,Student_64,Chemistry,55,Pass
256,Student_64,English,71,Pass
257,Student_65,Maths,24,Fail
258,Student_65,Physics,42,Pass
259,Student_65,Chemistry,28,Fail
260,Student_65,English,72,Pass
261,Student_66,Maths,73,Pass
262,Student_66,Physics,29,Fail
263,Student_66,Chemistry,97,Pass
264,Student_66,English,46,Pass
265,Student_67,Maths,25,Fail
266,Student_67,Physics,73,Pass
267,Student_67,Chemistry,38,Pass
268,Student_67,English,98,Pass
269,Student_68,Maths,32,Fail
270,Student_68,Physics,80,Pass
271,Student_68,Chemistry,38,Pass
272,Student_68,English,23,Fail
273,Student_69,Maths,96,Pass
274,Student_69,Physics,66,Pass
275,Student_69,Chemistry,54,Pass
276,Student_69,English,71,Pass
277,Student_70,Maths,40,Pass
278,Student_70,Physics,65,Pass
279,Student_70,Chemistry,69,Pass
280,Student_70,English,23,Fail
281,Student_71,Maths,49,Pass
282,Student_71,Physics,48,Pass
283,Student_71,Chemistry,88,Pass
284,Student_71,English,91,Pass
285,Student_72,Maths,40,Pass
286,Student_72,Physics,79,Pass
287,Student_72,Chemistry,63,Pass
288,Student_72,English,73,Pass
289,Student_73,Maths,89,Pass
290,Student_73,Physics,87,Pass
291,Student_73,Chemistry,69,Pass
292,Student_73,English,37,Pass
293,Student_74,Maths,70,Pass
294,Student_74,Physics,36,Pass
295,Student_74,Chemistry,100,Pass
296,Student_74,English,54,Pass
297,Student_75,Maths,58,Pass
298,Student_75,Physics,44,Pass
299,Student_75,Chemistry,29,Fail
300,Student_75,English,35,Pass
301,Student_76,Maths,40,Pass
302,Student_76,Physics,35,Pass
303,Student_76,Chemistry,99,Pass
304,Student_76,English,35,Pass
305,Student_77,Maths,96,Pass
306,Student_77,Physics,58,Pass
307,Student_77,Chemistry,66,Pass
308,Student_77,English,81,Pass
309,Student_78,Maths,31,Fail
310,Student_78,Physics,48,Pass
311,Student_78,Chemistry,32,Fail
312,Student_78,English,94,Pass
313,Student_79,Maths,81,Pass
314,Student_79,Physics,76,Pass
315,Student_79,Chemistry,92,Pass
316,Student_79,English,44,Pass
317,Student_80,Maths,77,Pass
318,Student_80,Physics,67,Pass
319,Student_80,Chemistry,23,Fail
320,Student_80,English,35,Pass
321,Student_81,Maths,22,Fail
322,Student_81,Physics,65,Pass
323,Student_81,Chemistry,49,Pass
324,Student_81,English,31,Fail
325,Student_82,Maths,24,Fail
326,Student_82,Physics,42,Pass
327,Student_82,Chemistry,57,Pass
328,Student_82,English,33,Fail
329,Student_83,Maths,83,Pass
330,Student_83,Physics,84,Pass
331,Student_83,Chemistry,65,Pass
332,Student_83,English,72,Pass
333,Student_84,Maths,36,Pass
334,Student_84,Physics,95,Pass
335,Student_84,Chemistry,70,Pass
336,Student_84,English,78,Pass
337,Student_85,Maths,100,Pass
338,Student_85,Physics,30,Fail
339,Student_85,Chemistry,42,Pass
340,Student_85,English,98,Pass
341,Student_86,Maths,89,Pass
342,Student_86,Physics,82,Pass
343,Student_86,Chemistry,20,Fail
344,Student_86,English,35,Pass
345,Student_87,Maths,27,Fail
346,Student_87,Physics,56,Pass
347,Student_87,Chemistry,87,Pass
348,Student_87,English,76,Pass
349,Student_88,Maths,91,Pass
350,Student_88,Physics,47,Pass
351,Student_88,Chemistry,40,Pass
352,Student_88,English,68,Pass
353,Student_89,Maths,83,Pass
354,Student_89,Physics,66,Pass
355,Student_89,Chemistry,77,Pass
356,Student_89,English,49,Pass
357,Student_90,Maths,79,Pass
358,Student_90,Physics,94,Pass
359,Student_90,Chemistry,65,Pass
360,Student_90,English,84,Pass
361,Student_91,Maths,73,Pass
362,Student_91,Physics,41,Pass
363,Student_91,Chemistry,49,Pass
364,Student_91,English,96,Pass
365,Student_92,Maths,80,Pass
366,Student_92,Physics,84,Pass
367,Student_92,Chemistry,74,Pass
368,Student_92,English,95,Pass
369,Student_93,Maths,64,Pass
370,Student_93,Physics,45,Pass
371,Student_93,Chemistry,62,Pass
372,Student_93,English,77,Pass
373,Student_94,Maths,67,Pass
374,Student_94,Physics,92,Pass
375,Student_94,Chemistry,66,Pass
376,Student_94,English,53,Pass
377,Student_95,Maths,98,Pass
378,Student_95,Physics,34,Fail
379,Student_95,Chemistry,87,Pass
380,Student_95,English,45,Pass
381,Student_96,Maths,39,Pass
382,Student_96,Physics,31,Fail
383,Student_96,Chemistry,98,Pass
384,Student_96,English,38,Pass
385,Student_97,Maths,49,Pass
386,Student_97,Physics,43,Pass
387,Student_97,Chemistry,100,Pass
388,Student_97,English,96,Pass
389,Student_98,Maths,98,Pass
390,Student_98,Physics,48,Pass
391,Student_98,Chemistry,27,Fail
392,Student_98,English,84,Pass
393,Student_99,Maths,45,Pass
394,Student_99,Physics,74,Pass
395,Student_99,Chemistry,89,Pass
396,Student_99,English,76,Pass
397,Student_100,Maths,28,Fail
398,Student_100,Physics,88,Pass
399,Student_100,Chemistry,82,Pass
400,Student_100,English,92,Pass
401,Student_101,Maths,42,Pass
402,Student_101,Physics,55,Pass
403,Student_101,Chemistry,88,Pass
404,Student_101,English,91,Pass
405,Student_102,Maths,76,Pass
406,Student_102,Physics,95,Pass
407,Student_102,Chemistry,41,Pass
408,Student_102,English,59,Pass
409,Student_103,Maths,21,Fail
410,Student_103,Physics,59,Pass
411,Student_103,Chemistry,56,Pass
412,Student_103,English,29,Fail
413,Student_104,Maths,41,Pass
414,Student_104,Physics,88,Pass
415,Student_104,Chemistry,89,Pass
416,Student_104,English,55,Pass
417,Student_105,Maths,93,Pass
418,Student_105,Physics,31,Fail
419,Student_105,Chemistry,42,Pass
420,Student_105,English,91,Pass
421,Student_106,Maths,39,Pass
422,Student_106,Physics,42,Pass
423,Student_106,Chemistry,79,Pass
424,Student_106,English,55,Pass
425,Student_107,Maths,28,Fail
426,Student_107,Physics,40,Pass
427,Student_107,Chemistry,25,Fail
428,Student_107,English,58,Pass
429,Student_108,Maths,97,Pass
430,Student_108,Physics,69,Pass
431,Student_108,Chemistry,71,Pass
432,Student_108,English,79,Pass
433,Student_109,Maths,38,Pass
434,Student_109,Physics,62,Pass
435,Student_109,Chemistry,48,Pass
436,Student_109,English,72,Pass
437,Student_110,Maths,86,Pass
438,Student_110,Physics,95,Pass
439,Student_110,Chemistry,20,Fail
440,Student_110,English,35,Pass
441,Student_111,Maths,89,Pass
442,Student_111,Physics,48,Pass
443,Student_111,Chemistry,61,Pass
444,Student_111,English,27,Fail
445,Student_112,Maths,38,Pass
446,Student_112,Physics,72,Pass
447,Student_112,Chemistry,35,Pass
448,Student_112,English,26,Fail
449,Student_113,Maths,37,Pass
450,Student_113,Physics,55,Pass
451,Student_113,Chemistry,65,Pass
452,Student_113,English,33,Fail
453,Student_114,Maths,26,Fail
454,Student_114,Physics,81,Pass
455,Student_114,Chemistry,23,Fail
456,Student_114,English,72,Pass
457,Student_115,Maths,32,Fail
458,Student_115,Physics,98,Pass
459,Student_115,Chemistry,52,Pass
460,Student_115,English,89,Pass
461,Student_116,Maths,20,Fail
462,Student_116,Physics,50,Pass
463,Student_116,Chemistry,45,Pass
464,Student_116,English,46,Pass
465,Student_117,Maths,35,Pass
466,Student_117,Physics,63,Pass
467,Student_117,Chemistry,76,Pass
468,Student_117,English,62,Pass
469,Student_118,Maths,93,Pass
470,Student_118,Physics,92,Pass
471,Student_118,Chemistry,31,Fail
472,Student_118,English,49,Pass
473,Student_119,Maths,100,Pass
474,Student_119,Physics,41,Pass
475,Student_119,Chemistry,24,Fail
476,Student_119,English,91,Pass
477,Student_120,Maths,21,Fail
478,Student_120,Physics,49,Pass
479,Student_120,Chemistry,76,Pass
480,Student_120,English,53,Pass
481,Student_121,Maths,72,Pass
482,Student_121,Physics,67,Pass
483,Student_121,Chemistry,79,Pass
484,Student_121,English,81,Pass
485,Student_122,Maths,98,Pass
486,Student_122,Physics,24,Fail
487,Student_122,Chemistry,87,Pass
488,Student_122,English,77,Pass
489,Student_123,Maths,20,Fail
490,Student_123,Physics,55,Pass
491,Student_123,Chemistry,60,Pass
492,Student_123,English,22,Fail
493,Student_124,Maths,78,Pass
494,Student_124,Physics,43,Pass
495,Student_124,Chemistry,72,Pass
496,Student_124,English,99,Pass
497,Student_125,Maths,92,Pass
498,Student_125,Physics,44,Pass
499,Student_125,Chemistry,32,Fail
500,Student_125,English,50,Pass
501,Student_126,Maths,60,Pass
502,Student_126,Physics,71,Pass
503,Student_126,Chemistry,71,Pass
504,Student_126,English,87,Pass
505,Student_127,Maths,99,Pass
506,Student_127,Physics,85,Pass
507,Student_127,Chemistry,28,Fail
